country,attraction,url,last_page_number
New_Zealand,Tamaki_Maori_Village-Rotorua_Rotorua_District_Bay_of_Plenty_Region_North_Island,http://www.tripadvisor.com/Attraction_Review-g255111-d256949-Reviews-Tamaki_Maori_Village-Rotorua_Rotorua_District_Bay_of_Plenty_Region_North_Island.html#REVIEWS,327
New_Zealand,The_Giant_s_House-Akaroa_Canterbury_Region_South_Island,http://www.tripadvisor.com/Attraction_Review-g285727-d816914-Reviews-The_Giant_s_House-Akaroa_Canterbury_Region_South_Island.html#REVIEWS,75
New_Zealand,Olveston_Historic_Home-Dunedin_Otago_Region_South_Island,http://www.tripadvisor.com/Attraction_Review-g255119-d256965-Reviews-Olveston_Historic_Home-Dunedin_Otago_Region_South_Island.html#REVIEWS,70
New_Zealand,Museum_of_New_Zealand_Te_Papa_Tongarewa-Wellington_Greater_Wellington_North_Island,http://www.tripadvisor.com/Attraction_Review-g255115-d257133-Reviews-Museum_of_New_Zealand_Te_Papa_Tongarewa-Wellington_Greater_Wellington_North_Island.html#REVIEWS,954
New_Zealand,The_Great_War_Exhibition-Wellington_Greater_Wellington_North_Island,http://www.tripadvisor.com/Attraction_Review-g255115-d8004914-Reviews-The_Great_War_Exhibition-Wellington_Greater_Wellington_North_Island.html#REVIEWS,165
New_Zealand,Omaka_Aviation_Heritage_Centre-Blenheim_Marlborough_Region_South_Island,http://www.tripadvisor.com/Attraction_Review-g255117-d2005375-Reviews-Omaka_Aviation_Heritage_Centre-Blenheim_Marlborough_Region_South_Island.html#REVIEWS,107
New_Zealand,Toitu_Otago_Settlers_Museum-Dunedin_Otago_Region_South_Island,http://www.tripadvisor.com/Attraction_Review-g255119-d256972-Reviews-Toitu_Otago_Settlers_Museum-Dunedin_Otago_Region_South_Island.html#REVIEWS,146
New_Zealand,Wai_O_Tapu_Thermal_Wonderland-Rotorua_Rotorua_District_Bay_of_Plenty_Region_North_,http://www.tripadvisor.com/Attraction_Review-g255111-d258116-Reviews-Wai_O_Tapu_Thermal_Wonderland-Rotorua_Rotorua_District_Bay_of_Plenty_Region_North_.html#REVIEWS,511
New_Zealand,The_Lost_Spring-Whitianga_Coromandel_Peninsula_Waikato_Region_North_Island,http://www.tripadvisor.com/Attraction_Review-g488373-d1396597-Reviews-The_Lost_Spring-Whitianga_Coromandel_Peninsula_Waikato_Region_North_Island.html#REVIEWS,115
New_Zealand,Waimangu_Volcanic_Valley-Waimangu_Rotorua_District_Bay_of_Plenty_Region_North_Isl,http://www.tripadvisor.com/Attraction_Review-g1897867-d258117-Reviews-Waimangu_Volcanic_Valley-Waimangu_Rotorua_District_Bay_of_Plenty_Region_North_Isl.html#REVIEWS,90
New_Zealand,Orakei_Korako_Cave_Thermal_Park-Taupo_District_Waikato_Region_North_Island,http://www.tripadvisor.com/Attraction_Review-g7813587-d1062500-Reviews-Orakei_Korako_Cave_Thermal_Park-Taupo_District_Waikato_Region_North_Island.html#REVIEWS,93
New_Zealand,Otago_Peninsula-Dunedin_Otago_Region_South_Island,http://www.tripadvisor.com/Attraction_Review-g255119-d301181-Reviews-Otago_Peninsula-Dunedin_Otago_Region_South_Island.html#REVIEWS,143
New_Zealand,Banks_Peninsula-Christchurch_Canterbury_Region_South_Island,http://www.tripadvisor.com/Attraction_Review-g255118-d301129-Reviews-Banks_Peninsula-Christchurch_Canterbury_Region_South_Island.html#REVIEWS,87
New_Zealand,Pancake_Rocks_and_Blowholes_Walk-Punakaiki_West_Coast_Region_South_Island,http://www.tripadvisor.com/Attraction_Review-g660716-d1117929-Reviews-Pancake_Rocks_and_Blowholes_Walk-Punakaiki_West_Coast_Region_South_Island.html#REVIEWS,142
New_Zealand,Waimangu_Volcanic_Valley-Waimangu_Rotorua_District_Bay_of_Plenty_Region_North_Isl,http://www.tripadvisor.com/Attraction_Review-g1897867-d258117-Reviews-Waimangu_Volcanic_Valley-Waimangu_Rotorua_District_Bay_of_Plenty_Region_North_Isl.html#REVIEWS,90
New_Zealand,Christchurch_Botanic_Gardens-Christchurch_Canterbury_Region_South_Island,http://www.tripadvisor.com/Attraction_Review-g255118-d256992-Reviews-Christchurch_Botanic_Gardens-Christchurch_Canterbury_Region_South_Island.html#REVIEWS,427
New_Zealand,Hamilton_Gardens-Hamilton_Waikato_Region_North_Island,http://www.tripadvisor.com/Attraction_Review-g255108-d1076049-Reviews-Hamilton_Gardens-Hamilton_Waikato_Region_North_Island.html#REVIEWS,227
New_Zealand,Waitangi_Treaty_Grounds-Paihia_Bay_of_Islands_Northland_Region_North_Island,http://www.tripadvisor.com/Attraction_Review-g255110-d319397-Reviews-Waitangi_Treaty_Grounds-Paihia_Bay_of_Islands_Northland_Region_North_Island.html#REVIEWS,353
New_Zealand,Pukekura_Park-New_Plymouth_Taranaki_Region_North_Island,http://www.tripadvisor.com/Attraction_Review-g255112-d301115-Reviews-Pukekura_Park-New_Plymouth_Taranaki_Region_North_Island.html#REVIEWS,123
New_Zealand,Tiritiri_Matangi_Island-Auckland_Central_North_Island,http://www.tripadvisor.com/Attraction_Review-g255106-d3701674-Reviews-Tiritiri_Matangi_Island-Auckland_Central_North_Island.html#REVIEWS,145
New_Zealand,Doubtful_Sound-Te_Anau_Fiordland_National_Park_Southland_Region_South_Island,http://www.tripadvisor.com/Attraction_Review-g255124-d273470-Reviews-Doubtful_Sound-Te_Anau_Fiordland_National_Park_Southland_Region_South_Island.html#REVIEWS,153
New_Zealand,Otago_Peninsula-Dunedin_Otago_Region_South_Island,http://www.tripadvisor.com/Attraction_Review-g255119-d301181-Reviews-Otago_Peninsula-Dunedin_Otago_Region_South_Island.html#REVIEWS,143
New_Zealand,Hokitika_Gorge_Walk-Hokitika_West_Coast_Region_South_Island,http://www.tripadvisor.com/Attraction_Review-g255373-d2467220-Reviews-Hokitika_Gorge_Walk-Hokitika_West_Coast_Region_South_Island.html#REVIEWS,85
New_Zealand,Sky_Tower-Auckland_Central_North_Island,http://www.tripadvisor.com/Attraction_Review-g255106-d256867-Reviews-Sky_Tower-Auckland_Central_North_Island.html#REVIEWS,672
New_Zealand,The_Giant_s_House-Akaroa_Canterbury_Region_South_Island,http://www.tripadvisor.com/Attraction_Review-g285727-d816914-Reviews-The_Giant_s_House-Akaroa_Canterbury_Region_South_Island.html#REVIEWS,75
New_Zealand,Ohau_Point_Seal_Colony-Kaikoura_Canterbury_Region_South_Island,http://www.tripadvisor.com/Attraction_Review-g255374-d1831064-Reviews-Ohau_Point_Seal_Colony-Kaikoura_Canterbury_Region_South_Island.html#REVIEWS,77
New_Zealand,Te_Puia-Rotorua_Rotorua_District_Bay_of_Plenty_Region_North_Island,http://www.tripadvisor.com/Attraction_Review-g255111-d650572-Reviews-Te_Puia-Rotorua_Rotorua_District_Bay_of_Plenty_Region_North_Island.html#REVIEWS,323
Papua_New_Guinea,Kokoda_Track-Papua_New_Guinea,http://www.tripadvisor.com/Attraction_Review-g294115-d309624-Reviews-Kokoda_Track-Papua_New_Guinea.html#REVIEWS,34
Papua_New_Guinea,Bomana_War_Cemetery-Port_Moresby_Papua_Region,http://www.tripadvisor.com/Attraction_Review-g294118-d6922868-Reviews-Bomana_War_Cemetery-Port_Moresby_Papua_Region.html#REVIEWS,20
Papua_New_Guinea,Port_Moresby_Nature_Park-Port_Moresby_Papua_Region,http://www.tripadvisor.com/Attraction_Review-g294118-d309787-Reviews-Port_Moresby_Nature_Park-Port_Moresby_Papua_Region.html#REVIEWS,25
Papua_New_Guinea,Mount_Tavurvur-Rabaul_New_Britain_Island_Islands_Region,http://www.tripadvisor.com/Attraction_Review-g294119-d8761506-Reviews-Mount_Tavurvur-Rabaul_New_Britain_Island_Islands_Region.html#REVIEWS,6
Papua_New_Guinea,Bomana_War_Cemetery-Port_Moresby_Papua_Region,http://www.tripadvisor.com/Attraction_Review-g294118-d6922868-Reviews-Bomana_War_Cemetery-Port_Moresby_Papua_Region.html#REVIEWS,20
Papua_New_Guinea,National_Parliament_House-Port_Moresby_Papua_Region,http://www.tripadvisor.com/Attraction_Review-g294118-d309615-Reviews-National_Parliament_House-Port_Moresby_Papua_Region.html#REVIEWS,7
Papua_New_Guinea,Rabaul_War_Cemetery-Rabaul_New_Britain_Island_Islands_Region,http://www.tripadvisor.com/Attraction_Review-g294119-d10121040-Reviews-Rabaul_War_Cemetery-Rabaul_New_Britain_Island_Islands_Region.html#REVIEWS,4
Papua_New_Guinea,Lae_War_Cemetery-Lae_Momase_Region,http://www.tripadvisor.com/Attraction_Review-g298435-d8673771-Reviews-Lae_War_Cemetery-Lae_Momase_Region.html#REVIEWS,2
Papua_New_Guinea,Kokoda_Track-Papua_New_Guinea,http://www.tripadvisor.com/Attraction_Review-g294115-d309624-Reviews-Kokoda_Track-Papua_New_Guinea.html#REVIEWS,34
Papua_New_Guinea,Port_Moresby_Nature_Park-Port_Moresby_Papua_Region,http://www.tripadvisor.com/Attraction_Review-g294118-d309787-Reviews-Port_Moresby_Nature_Park-Port_Moresby_Papua_Region.html#REVIEWS,25
Papua_New_Guinea,Mount_Tavurvur-Rabaul_New_Britain_Island_Islands_Region,http://www.tripadvisor.com/Attraction_Review-g294119-d8761506-Reviews-Mount_Tavurvur-Rabaul_New_Britain_Island_Islands_Region.html#REVIEWS,6
Papua_New_Guinea,Kitava_Island-Trobriand_Islands_Papua_Region,http://www.tripadvisor.com/Attraction_Review-g667797-d7281411-Reviews-Kitava_Island-Trobriand_Islands_Papua_Region.html#REVIEWS,6
Cambodia,Angkor_Wat-Siem_Reap_Siem_Reap_Province,http://www.tripadvisor.com/Attraction_Review-g297390-d317907-Reviews-Angkor_Wat-Siem_Reap_Siem_Reap_Province.html#REVIEWS,2487
Cambodia,Bayon_Temple-Siem_Reap_Siem_Reap_Province,http://www.tripadvisor.com/Attraction_Review-g297390-d552507-Reviews-Bayon_Temple-Siem_Reap_Siem_Reap_Province.html#REVIEWS,1071
Cambodia,Ta_Prohm-Siem_Reap_Siem_Reap_Province,http://www.tripadvisor.com/Attraction_Review-g297390-d325222-Reviews-Ta_Prohm-Siem_Reap_Siem_Reap_Province.html#REVIEWS,1067
Cambodia,Angkor_Thom-Siem_Reap_Siem_Reap_Province,http://www.tripadvisor.com/Attraction_Review-g297390-d325215-Reviews-Angkor_Thom-Siem_Reap_Siem_Reap_Province.html#REVIEWS,494
Cambodia,Angkor_Thom-Siem_Reap_Siem_Reap_Province,http://www.tripadvisor.com/Attraction_Review-g297390-d325215-Reviews-Angkor_Thom-Siem_Reap_Siem_Reap_Province.html#REVIEWS,494
