country,attraction,address
New_Zealand,Otago_Peninsula-Dunedin_Otago_Region_South_Island,"Dunedin, New Zealand"
New_Zealand,Hokitika_Gorge_Walk-Hokitika_West_Coast_Region_South_Island,"Whitcombe Valley Road | Hokitika Gorge Scenic Reserve, West Coast, Hokitika, New Zealand"
New_Zealand,Sky_Tower-Auckland_Central_North_Island,"Corner Victoria and Federal Sts, Auckland Central, Auckland 1010, New Zealand"
New_Zealand,The_Giant_s_House-Akaroa_Canterbury_Region_South_Island,"68 Rue Balguerie, Akaroa 7520, New Zealand"
New_Zealand,Ohau_Point_Seal_Colony-Kaikoura_Canterbury_Region_South_Island,"State Highway 1, Ohau Point, Kaikoura, New Zealand"
New_Zealand,Te_Puia-Rotorua_Rotorua_District_Bay_of_Plenty_Region_North_Island,"Hemo Road, Rotorua, New Zealand"
Papua_New_Guinea,Kokoda_Track-Papua_New_Guinea,Papua New Guinea
Papua_New_Guinea,Bomana_War_Cemetery-Port_Moresby_Papua_Region,"Port Moresby, Papua New Guinea"
Papua_New_Guinea,Port_Moresby_Nature_Park-Port_Moresby_Papua_Region,"Goro Kaeaga Road, Port Moresby 121, Papua New Guinea"
Papua_New_Guinea,Mount_Tavurvur-Rabaul_New_Britain_Island_Islands_Region,"Rabaul, New Britain Island, Papua New Guinea"
Papua_New_Guinea,Bomana_War_Cemetery-Port_Moresby_Papua_Region,"Port Moresby, Papua New Guinea"
Papua_New_Guinea,National_Parliament_House-Port_Moresby_Papua_Region,"Port Moresby, Papua New Guinea"
Papua_New_Guinea,Rabaul_War_Cemetery-Rabaul_New_Britain_Island_Islands_Region,"Rabaul, New Britain Island, Papua New Guinea"
Papua_New_Guinea,Lae_War_Cemetery-Lae_Momase_Region,"Memorial Avenue, Lae 411, Papua New Guinea"
Papua_New_Guinea,Kokoda_Track-Papua_New_Guinea,Papua New Guinea
Papua_New_Guinea,Port_Moresby_Nature_Park-Port_Moresby_Papua_Region,"Goro Kaeaga Road, Port Moresby 121, Papua New Guinea"
Papua_New_Guinea,Mount_Tavurvur-Rabaul_New_Britain_Island_Islands_Region,"Rabaul, New Britain Island, Papua New Guinea"
Papua_New_Guinea,Kitava_Island-Trobriand_Islands_Papua_Region,Papua New Guinea
Cambodia,Angkor_Wat-Siem_Reap_Siem_Reap_Province,"Siem Reap, Cambodia"
Cambodia,Bayon_Temple-Siem_Reap_Siem_Reap_Province,"Angkor Thom, Siem Reap, Cambodia"
Cambodia,Ta_Prohm-Siem_Reap_Siem_Reap_Province,"National Road #6 | K, Siem Reap 17252, Cambodia"
Cambodia,Angkor_Thom-Siem_Reap_Siem_Reap_Province,"Angkor Wat, Siem Reap 17259, Cambodia"
Cambodia,Angkor_Thom-Siem_Reap_Siem_Reap_Province,"Angkor Wat, Siem Reap 17259, Cambodia"
Cambodia,Angkor_Archaeological_Park-Siem_Reap_Siem_Reap_Province,"Siem Reap, Cambodia"
Cambodia,Choeung_Ek_Genocidal_Center-Phnom_Penh," | Roluos Village, Sangkat Cheung Aek, Phnom Penh, Cambodia"
Cambodia,Beng_Mealea-Siem_Reap_Province,"40 km east of Angkor Wat, Cambodia"
Cambodia,Tuol_Sleng_Genocide_Museum-Phnom_Penh," | Corner of Street 113 & St 350, Phnom Penh, Cambodia"
Cambodia,Cambodia_Landmine_Museum-Siem_Reap_Siem_Reap_Province,"Angkor National Park, 7km south of Banteay Srey Temple, Siem Reap, Cambodia"
Cambodia,Angkor_National_Museum-Siem_Reap_Siem_Reap_Province,"968 Vithei Charles de Gaulle Blvd | Khrum 6, Siem Reap, Cambodia"
Cambodia,War_Museum_Cambodia-Siem_Reap_Siem_Reap_Province,"Kaksekam Village, Sra Nge Commune, Siem Reap, Cambodia"
Cambodia,Angkor_Wat-Siem_Reap_Siem_Reap_Province,"Siem Reap, Cambodia"
