country,attraction,address,latitude,longitude
New_Zealand,Tamaki_Maori_Village-Rotorua_Rotorua_District_Bay_of_Plenty_Region_North_Island,"1220 Hinemaru St, Rotorua 3010, New Zealand",-38.1368992,176.2561347
New_Zealand,The_Giant_s_House-Akaroa_Canterbury_Region_South_Island,"68 Rue Balguerie, Akaroa 7520, New Zealand",-43.8084019,172.9734867
New_Zealand,Olveston_Historic_Home-Dunedin_Otago_Region_South_Island,"42 Royal Terrace, Dunedin 9016, New Zealand",-45.866355,170.502633
New_Zealand,Museum_of_New_Zealand_Te_Papa_Tongarewa-Wellington_Greater_Wellington_North_Island,"55 Cable St, Wellington 6011, New Zealand",-41.2905022,174.7817372
New_Zealand,The_Great_War_Exhibition-Wellington_Greater_Wellington_North_Island,"15 Buckle Street | Pukeahu National War Memorial Park, Wellington 6011, New Zealand",-41.298272,174.7775258
New_Zealand,Omaka_Aviation_Heritage_Centre-Blenheim_Marlborough_Region_South_Island,"79 Aerodrome Road, Blenheim 7272, New Zealand",-41.5377858,173.9284558
New_Zealand,Toitu_Otago_Settlers_Museum-Dunedin_Otago_Region_South_Island,"31 Queens Garden, Dunedin 9054, New Zealand",-45.8769742,170.5058417
New_Zealand,Wai_O_Tapu_Thermal_Wonderland-Rotorua_Rotorua_District_Bay_of_Plenty_Region_North_,"201 Waiotapu Loop Road | Rd 3, Rotorua 3073, New Zealand",-38.358256,176.3689844
New_Zealand,The_Lost_Spring-Whitianga_Coromandel_Peninsula_Waikato_Region_North_Island,"121A Cook Drive | Whitianga, Coromandel Peninsula, Whitianga 3510, New Zealand",-36.8289762,175.7017429
New_Zealand,Waimangu_Volcanic_Valley-Waimangu_Rotorua_District_Bay_of_Plenty_Region_North_Isl,"587 Waimangu Road | Rotorua, Waimangu 3073, New Zealand",-38.2857556,176.3871029
New_Zealand,Orakei_Korako_Cave_Thermal_Park-Taupo_District_Waikato_Region_North_Island,"494 Orakeikorako Road, 3083, New Zealand",-38.473834,176.1436365
New_Zealand,Otago_Peninsula-Dunedin_Otago_Region_South_Island,"Dunedin, New Zealand",-45.8787605,170.5027976
New_Zealand,Banks_Peninsula-Christchurch_Canterbury_Region_South_Island,"Christchurch 7581, New Zealand",-43.8332025,172.9824121
